cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
472,test,38.147309,57.916619,35,133,2264745,2,7,136646,2,152,2459374,3,15,268782,6,624,2286858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,436,524832,8,41,406424,0,0,0,0,0,0,0,0,0,140,1408,8347661
473,test,37.356988,60.567173,6,22,388242,0,0,0,1,76,1229687,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,93,112464,2,10,101606,0,0,0,0,0,0,0,0,0,29,310,2302736
474,test,37.528243,59.273501,6,22,388242,0,0,0,0,0,0,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,62,74976,0,0,0,0,0,0,0,0,0,0,0,0,20,193,933955
475,test,36.540992,61.236215,5,19,427250,7,26,690683,5,380,3343680,3,15,332481,3,312,1622193,3,456,5365065,3,456,23475567,0,0,0,0,0,0,7,1064,14606466,0,0,0,1,5,6174,0,0,0,0,0,0,1,3,218125,0,0,0,38,2736,50087684
476,test,38.656406,57.654257,172,653,11129604,5,19,341615,34,2584,41809358,23,119,2060662,30,3120,11434290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,3520,4229896,7,36,355621,0,0,0,0,0,0,0,0,0,948,10051,71361046
477,test,38.051230,57.969875,11,41,711777,1,3,68323,0,0,0,2,10,179188,1,104,381143,1,152,1788355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,176,212432,2,10,101606,0,0,0,0,0,0,0,0,0,52,496,3442824
478,test,38.391237,56.787105,10,38,647070,1,3,68323,0,0,0,2,10,179188,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,130,156200,1,5,50803,0,0,0,0,0,0,0,0,0,41,394,1863870
479,test,38.938020,57.255851,19,72,1229433,1,3,68323,3,228,3689061,5,26,447970,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,348,418616,1,5,50803,0,0,0,0,0,0,0,0,0,100,1098,7428778
480,test,38.149390,57.787495,14,53,905898,0,0,0,1,76,1229687,4,20,358376,3,312,1143429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,182,218680,1,5,50803,0,0,0,0,0,0,0,0,0,58,648,3906873
481,test,36.571773,61.232468,33,125,2135331,2,7,136646,3,228,3689061,4,20,358376,3,312,1143429,4,608,7153420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,733,880968,2,10,101606,0,0,0,0,0,0,0,0,0,192,2043,15598837
