cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,37.412902,60.545082,10,38,854500,15,57,1480035,1,76,668736,3,15,332481,1,104,540731,0,0,0,15,2280,117377835,0,0,0,0,0,0,5,760,10433190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3330,131687508
2,test,37.999540,58.400548,12,45,1025400,10,38,986690,37,2812,24743232,19,98,2105713,13,1352,7029503,0,0,0,2,304,15650378,0,0,0,0,0,0,24,3648,50079312,0,0,0,1,5,6174,0,0,0,0,0,0,9,34,1963125,0,0,0,127,8336,103589527
3,test,37.367360,60.529788,0,0,0,16,60,1578704,7,532,4681152,7,36,775789,3,312,1622193,3,456,5365065,2,304,15650378,0,0,0,0,0,0,11,1672,22953018,0,0,0,1,5,6174,0,0,0,0,0,0,0,0,0,0,0,0,50,3377,52632473
4,test,37.878235,58.827987,25,95,1617675,0,0,0,0,0,0,0,0,0,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,390,468600,1,5,50803,0,0,0,0,0,0,0,0,0,105,906,3661650
5,test,38.046385,58.297439,1,3,85450,1,3,98669,8,608,5349888,6,31,664962,2,208,1081462,1,152,1788355,3,456,23475567,0,0,0,0,0,0,1,152,2086638,0,0,0,0,0,0,0,0,0,0,0,0,1,3,218125,0,0,0,24,1616,34849116
6,test,38.094858,57.990770,1,3,64707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,43736,2,10,101606,0,0,0,0,0,0,0,0,0,10,49,210049
7,test,38.550940,57.757162,13,49,841191,0,0,0,2,152,2459374,8,41,716752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,83,99968,4,20,203212,0,0,0,0,0,0,0,0,0,43,345,4320497
8,test,38.202039,57.966385,1,3,85450,9,34,888021,1,76,668736,5,26,554135,3,312,1622193,5,760,8941775,10,1520,78251890,0,0,0,0,0,0,1,152,2086638,0,0,0,2,10,12348,0,0,0,0,0,0,7,26,1526875,0,0,0,44,2919,94638061
9,test,37.992128,58.236289,2,7,170900,17,64,1677373,3,228,2006208,2,10,221654,11,1144,5948041,8,1216,14306840,6,912,46951134,0,0,0,0,0,0,5,760,10433190,0,0,0,8,41,49392,0,0,0,0,0,0,5,19,1090625,0,0,0,67,4401,82855357
10,test,37.347071,61.126095,31,117,2005917,0,0,0,0,0,0,4,20,358376,2,208,762286,3,456,5365065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,618,743512,53,275,2692559,0,0,0,0,0,0,0,0,0,212,1694,11927715
