cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
9276,test,43.779945,68.306303,8,30,517656,4,15,273292,0,0,0,0,0,0,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,760,10863060,25,130,156200,2,10,101606,1,5,181189,0,0,0,0,0,0,47,1158,12855289
9277,test,40.649893,68.430925,62,235,4011834,73,277,4987579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,11096,158600676,4,20,24992,142,738,7214026,114,592,20655546,76,288,16577500,0,0,0,544,13246,212072153
9278,test,44.254370,68.998482,2,7,129414,0,0,0,1,76,1229687,3,15,268782,0,0,0,0,0,0,0,0,0,0,0,0,1,190,6237659,0,0,0,1,152,2172612,3,15,18744,12,62,609636,2,10,362378,0,0,0,0,0,0,25,527,11028912
9279,test,44.319294,68.340769,0,0,0,0,0,0,2,152,2459374,0,0,0,0,0,0,1,152,1788355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,11,57,558833,0,0,0,1,3,218125,0,0,0,16,369,5030935
9280,test,42.295316,69.537379,34,129,2905300,28,106,2762732,14,1064,9362304,26,135,2881502,0,0,0,2,304,3576710,18,2736,140853402,0,0,0,15,2850,93564885,15,2280,31299570,26,3952,56487912,1,5,6174,0,0,0,0,0,0,17,64,3708125,0,0,0,196,13625,347408616
9281,test,42.584886,69.566700,2,7,129414,13,49,888199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,760,10414010,0,0,0,0,0,0,9,1368,19553508,15,78,93720,55,286,2794165,7,36,1268323,0,0,0,0,0,0,106,2584,35141339
9282,test,42.872431,68.788898,9,34,582363,2,7,136646,5,380,6148435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,6237659,0,0,0,3,456,6517836,13,67,81224,13,67,660439,1,5,181189,0,0,0,0,0,0,47,1206,20545791
9283,test,40.726108,68.192580,1,3,64707,22,83,1503106,20,1520,24593740,6,31,537564,8,832,3049144,2,304,3576710,18,2736,140853402,0,0,0,0,0,0,5,760,8540715,4,608,8690448,88,457,549824,136,707,6909208,23,119,4167347,0,0,0,0,0,0,333,8160,203035915
9284,test,42.352734,69.546081,2,7,170900,14,53,1381366,3,228,2006208,8,41,886616,4,416,2162924,12,1824,21460260,0,0,0,1,152,2082802,0,0,0,4,608,8346552,11,1672,23898732,0,0,0,0,0,0,0,0,0,11,41,2399375,0,0,0,70,5042,64795735
9285,test,42.998865,69.723238,5,19,323535,20,76,1366460,5,380,6148435,3,15,268782,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,4,608,8690448,16,83,99968,24,124,1219272,2,10,362378,0,0,0,0,0,0,85,2035,23420136
9286,test,41.637405,68.996446,36,136,2329452,9,34,614907,13,988,15985931,0,0,0,0,0,0,0,0,0,4,608,31300756,0,0,0,3,570,18712977,2,304,3416286,13,1976,28243956,98,509,612304,19,98,965257,8,41,1449512,1,3,218125,0,0,0,206,5267,103849463
9287,test,42.972551,67.458128,1,3,64707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,50803,0,0,0,0,0,0,0,0,0,2,8,115510
