cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
802,test,45.228326,57.721689,41,155,2652987,5,19,341615,0,0,0,61,317,5465234,20,2080,7622860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,3068,3686320,0,0,0,0,0,0,0,0,0,0,0,0,717,5639,19769016
803,test,42.947500,60.550944,60,228,3882420,0,0,0,0,0,0,54,280,4838076,25,2600,9528575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,4040,4854696,0,0,0,0,0,0,0,0,0,0,0,0,916,7148,23103767
804,test,41.075152,62.272952,23,87,1488261,0,0,0,2,152,2459374,5,26,447970,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,206,1071,1287088,0,0,0,0,0,0,0,0,0,0,0,0,240,1848,9861265
805,test,43.520071,57.789939,139,528,8994273,0,0,0,0,0,0,27,140,2419038,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,4,608,6832572,0,0,0,405,2106,2530440,0,0,0,0,0,0,0,0,0,0,0,0,586,4526,24968896
806,test,44.437788,59.126394,11,41,711777,0,0,0,0,0,0,4,20,358376,9,936,3430287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1596,1918136,0,0,0,0,0,0,0,0,0,0,0,0,331,2593,6418576
807,test,42.488549,57.027555,46,174,2976522,0,0,0,0,0,0,4,20,358376,15,1560,5717145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,2558,3074016,0,0,0,0,0,0,0,0,0,0,0,0,557,4312,12126059
808,test,42.485364,60.463869,125,475,8088375,0,0,0,0,0,0,23,119,2060662,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,224,1164,1399552,0,0,0,0,0,0,0,0,0,0,0,0,383,2950,17068162
809,test,42.721446,60.118233,11,41,711777,0,0,0,0,0,0,40,208,3583760,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,1674,2011856,0,0,0,0,0,0,0,0,0,0,0,0,383,2963,10118823
810,test,42.542176,61.699921,76,288,4917732,0,0,0,0,0,0,89,462,7973866,15,1560,5717145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,1830,2199296,0,0,0,0,0,0,0,0,0,0,0,0,532,4140,20808039
811,test,44.853710,58.845480,174,661,11259018,0,0,0,0,0,0,39,202,3494166,14,1456,5336002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1263,1518264,0,0,0,0,0,0,0,0,0,0,0,0,470,3582,21607450
812,test,43.206621,61.825561,13,49,841191,0,0,0,0,0,0,93,483,8332242,8,832,3049144,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,331,1721,2068088,0,0,0,0,0,0,0,0,0,0,0,0,447,3389,17706951
813,test,41.532720,60.929969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18744,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18744
814,test,43.031447,58.390235,35,133,2264745,0,0,0,0,0,0,121,629,10840874,18,1872,6860574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,2912,3498880,0,0,0,0,0,0,0,0,0,0,0,0,734,5546,23465073
815,test,43.689115,61.312431,36,136,2329452,0,0,0,0,0,0,81,421,7257114,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,1497,1799424,0,0,0,0,0,0,0,0,0,0,0,0,416,3198,15578563
816,test,41.869664,60.935546,361,1371,23359227,0,0,0,0,0,0,201,1045,18008394,17,1768,6479431,0,0,0,0,0,0,0,0,0,0,0,0,25,3800,42703575,0,0,0,1257,6536,7853736,0,0,0,0,0,0,0,0,0,0,0,0,1861,14520,98404363
817,test,45.307903,58.011723,13,49,841191,0,0,0,0,0,0,39,202,3494166,16,1664,6098288,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,637,3312,3979976,17,88,863651,0,0,0,0,0,0,0,0,0,724,5619,18693558
818,test,44.698296,56.328853,35,133,2264745,0,0,0,0,0,0,17,88,1523098,16,1664,6098288,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,616,3203,3848768,0,0,0,0,0,0,0,0,0,0,0,0,685,5240,15443042
819,test,44.044389,57.819043,0,0,0,0,0,0,0,0,0,131,681,11736814,21,2184,8004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,3515,4223648,2,10,101606,0,0,0,0,0,0,0,0,0,830,6390,24066071
820,test,43.681063,59.524423,42,159,2717694,0,0,0,0,0,0,33,171,2956602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1672,18789573,0,0,0,472,2454,2949056,16,83,812848,0,0,0,0,0,0,0,0,0,574,4539,28225773
821,test,41.715954,60.760690,2,7,129414,0,0,0,0,0,0,50,260,4479700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5168,58076862,0,0,0,1843,9583,11515064,0,0,0,0,0,0,0,0,0,0,0,0,1929,15018,74201040
822,test,42.367647,59.378814,75,285,4853025,0,0,0,0,0,0,130,676,11647220,20,2080,7622860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,3135,3767544,0,0,0,0,0,0,0,0,0,0,0,0,828,6176,27890649
823,test,42.622544,56.583881,11,41,711777,0,0,0,0,0,0,101,525,9048994,15,1560,5717145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2194,2636656,0,0,0,0,0,0,0,0,0,0,0,0,549,4320,18114572
824,test,43.074446,57.553613,106,402,6858942,0,0,0,0,0,0,79,410,7077926,16,1664,6098288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,1773,2130568,0,0,0,0,0,0,0,0,0,0,0,0,542,4249,22165724
825,test,41.506119,61.158337,222,843,14364954,0,0,0,2,152,2459374,149,774,13349506,32,3328,12196576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,3036,3648832,227,1180,11532281,0,0,0,0,0,0,0,0,0,1216,9313,57551523
826,test,41.982253,60.280585,35,133,2264745,0,0,0,0,0,0,18,93,1612692,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,91,473,568568,0,0,0,0,0,0,0,0,0,0,0,0,147,1107,8243434
