cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
48,test,38.534048,68.744446,117,444,9997650,0,0,0,51,3876,34105536,381,1981,42225087,0,0,0,16,2432,28613680,0,0,0,4,608,8331208,0,0,0,17,2584,35472846,0,0,0,1978,10285,12212172,0,0,0,0,0,0,5,19,1090625,0,0,0,2569,22229,172048804
49,test,38.545116,68.692749,0,0,0,0,0,0,16,1216,10699776,4,20,443308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,11856,162757764,0,0,0,187,972,1154538,0,0,0,0,0,0,33,125,7198125,0,0,0,318,14189,182253511
50,test,37.891693,73.443875,12,45,776484,0,0,0,0,0,0,3,15,268782,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,104,124960,0,0,0,0,0,0,0,0,0,0,0,0,36,268,1551369
51,test,37.664195,74.420143,9,34,582363,0,0,0,0,0,0,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,156,187440,0,0,0,0,0,0,0,0,0,0,0,0,41,299,1240540
52,test,37.881357,71.994302,41,155,2652987,0,0,0,0,0,0,17,88,1523098,7,728,2668001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,1107,1330824,0,0,0,0,0,0,0,0,0,0,0,0,278,2078,8174910
53,test,38.439200,71.208677,6,22,388242,0,0,0,0,0,0,30,156,2687820,6,624,2286858,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,279,1450,1743192,2,10,101606,0,0,0,0,0,0,0,0,0,324,2414,8915861
54,test,38.713650,70.681022,15,57,970605,0,0,0,0,0,0,30,156,2687820,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,54,280,337392,0,0,0,0,0,0,0,0,0,0,0,0,102,901,7793246
55,test,37.787404,74.148042,3,11,194121,0,0,0,0,0,0,5,26,447970,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,197,237424,0,0,0,0,0,0,0,0,0,0,0,0,47,338,1260658
56,test,38.502719,71.339611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,test,38.194270,73.465114,4,15,258828,0,0,0,0,0,0,2,10,179188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,34,176,212432,0,0,0,0,0,0,0,0,0,0,0,0,41,353,2358591
58,test,37.225321,71.817163,50,190,3235350,0,0,0,0,0,0,86,447,7705084,17,1768,6479431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,2303,2767864,0,0,0,0,0,0,0,0,0,0,0,0,596,4708,20187729
59,test,37.410017,72.172365,3,11,194121,0,0,0,0,0,0,45,234,4031730,7,728,2668001,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,371,1929,2318008,0,0,0,0,0,0,0,0,0,0,0,0,428,3206,12628146
60,test,38.200399,72.596266,12,45,776484,0,0,0,0,0,0,13,67,1164722,6,624,2286858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1045,1255848,0,0,0,0,0,0,0,0,0,0,0,0,232,1781,5483912
61,test,37.614074,73.605961,9,34,582363,0,0,0,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,32,166,199936,0,0,0,0,0,0,0,0,0,0,0,0,43,357,2580036
62,test,37.982357,73.659855,7,26,452949,0,0,0,0,0,0,2,10,179188,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,140,168696,0,0,0,0,0,0,0,0,0,0,0,0,37,280,1181976
63,test,39.234155,72.939056,3,11,194121,0,0,0,0,0,0,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,62,74976,0,0,0,0,0,0,0,0,0,0,0,0,17,182,739834
64,test,37.068580,72.286436,70,266,4529490,14,53,956522,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1064,11957001,0,0,0,324,1684,2024352,0,0,0,0,0,0,0,0,0,0,0,0,416,3072,19556959
65,test,38.391109,71.424190,39,148,2523573,0,0,0,0,0,0,55,286,4927670,1,104,381143,0,0,0,0,0,0,7,1064,14579614,0,0,0,0,0,0,0,0,0,375,1950,2343000,20,104,1016060,0,0,0,0,0,0,0,0,0,497,3656,25771060
66,test,37.984657,72.443245,2,7,129414,0,0,0,0,0,0,12,62,1075128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,47,244,293656,0,0,0,0,0,0,0,0,0,0,0,0,62,465,3206341
67,test,38.050669,70.323535,0,0,0,0,0,0,0,0,0,10,52,895940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,69,358,431112,0,0,0,0,0,0,0,0,0,0,0,0,80,562,3035195
68,test,38.670760,72.895837,11,41,711777,0,0,0,0,0,0,2,10,179188,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,135,162448,0,0,0,0,0,0,0,0,0,0,0,0,40,290,1434556
69,test,37.915754,72.199533,22,83,1423554,0,0,0,0,0,0,13,67,1164722,3,312,1143429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,332,399872,0,0,0,0,0,0,0,0,0,0,0,0,102,794,4131577
70,test,39.225869,72.433828,6,22,388242,0,0,0,0,0,0,5,26,447970,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,88,106216,0,0,0,0,0,0,0,0,0,0,0,0,29,240,1323571
71,test,38.748712,70.990338,1,3,64707,0,0,0,0,0,0,3,15,268782,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,93,112464,0,0,0,0,0,0,0,0,0,0,0,0,23,215,827096
72,test,38.847134,73.069833,0,0,0,0,0,0,0,0,0,3,15,268782,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,150,181192,0,0,0,0,0,0,0,0,0,0,0,0,33,269,831117
73,test,38.810503,72.291254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,83,99968,0,0,0,0,0,0,0,0,0,0,0,0,16,83,99968
74,test,38.681922,70.849060,43,163,2782401,0,0,0,0,0,0,37,192,3314978,9,936,3430287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1388,1668216,0,0,0,0,0,0,0,0,0,0,0,0,356,2679,11195882
75,test,37.126386,72.566420,129,490,8347203,0,0,0,0,0,0,16,83,1433504,13,1352,4954859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,1492,1793176,0,0,0,0,0,0,0,0,0,0,0,0,445,3417,16528742
76,test,37.583387,73.922548,1,3,64707,0,0,0,0,0,0,3,15,268782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,119,143704,2,10,101606,0,0,0,0,0,0,0,0,0,29,147,578799
77,test,38.375851,70.548562,9,34,582363,0,0,0,0,0,0,13,67,1164722,12,1248,4573716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,2412,2899072,0,0,0,0,0,0,0,0,0,0,0,0,498,3761,9219873
78,test,37.786023,71.668571,27,102,1747089,0,0,0,0,0,0,107,556,9586558,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,6,912,10248858,0,0,0,357,1856,2230536,0,0,0,0,0,0,0,0,0,0,0,0,501,3842,25337613
79,test,36.949945,72.058316,82,311,5305974,0,0,0,0,0,0,21,109,1881474,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,8,1216,13665144,0,0,0,391,2033,2442968,0,0,0,0,0,0,0,0,0,0,0,0,503,3773,23676703
80,test,37.271698,72.369259,7,26,452949,0,0,0,0,0,0,72,374,6450768,9,936,3430287,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,380,1976,2374240,0,0,0,0,0,0,0,0,0,0,0,0,469,3464,14416387
81,test,37.431282,71.966843,7,26,452949,0,0,0,0,0,0,12,62,1075128,21,2184,8004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,3198,3842520,130,676,6604390,0,0,0,1,3,218125,0,0,0,786,6149,20197115
82,test,37.934511,74.462974,3,11,194121,0,0,0,0,0,0,10,52,895940,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,176,212432,0,0,0,0,0,0,0,0,0,0,0,0,48,343,1683636
83,test,38.564312,70.620865,26,98,1682382,0,0,0,0,0,0,21,109,1881474,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1783,2143064,3,15,152409,0,0,0,0,0,0,0,0,0,404,3149,10051902
84,test,37.665623,73.036074,5,19,323535,3,11,204969,0,0,0,0,0,0,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,171,206184,0,0,0,0,0,0,0,0,0,0,0,0,42,305,1115831
